actual\predicted,negative,neutral,positive
negative,0.9053708439897699,0.02237851662404092,0.07225063938618925
neutral,0.5265567765567766,0.11904761904761904,0.3543956043956044
positive,0.0634313055365687,0.015994531784005468,0.9205741626794258
