class,precision,recall,f1,support
negative,0.5767820773930754,0.9053708439897699,0.7046528987310277,1564
neutral,0.46099290780141844,0.11904761904761904,0.18922852983988356,1092
positive,0.9308819463643904,0.9205741626794258,0.9256993607808097,7315
